ERNnvp,Pathogen,Group,HighTaxon,LowTaxon,Host,Order,Family,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,DateEntered,FlagForDeletion,DateModified,ProvinceA,Test,PathogenValue,BiogeographicRegion
453,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Hesperotettix viridis viridis,Orthoptera,Acrididae,,Fat body,,,,,,,,7164,,
454,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Hypochlora alba,Orthoptera,Acrididae,,Fat body,Lab,,,,,,,7164,,
455,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Cordillacris occipitalis,Orthoptera,Acrididae,,Fat body,Lab,,,,,,,7164,,
456,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Aulocara femoratum,Orthoptera,Acrididae,,Fat body,Lab,,,,,,,7164,,
457,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Aulocara elliotti,Orthoptera,Acrididae,,Fat body,Field,USA,,,,,,7164,,Nearctic
458,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Melanoplus keeleri luridus,Orthoptera,Acrididae,,Fat body,Lab,,,,,,,7164,,
459,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Melanoplus foedus,Orthoptera,Acrididae,,Fat body,,,,,,,,7164,,
460,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Metator pardalinus,Orthoptera,Acrididae,,Fat body,,UK,,,,,,7164,,
461,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Spharagemon equale,Orthoptera,Acrididae,,Fat body,Lab,,,,,,,7164,,
462,Nosema lophocampae,Protozoa,Microspora,Microsporea (Microsporida),Lophocampa flavostica,Lepidoptera,Arctiidae,,,,Brazil,,,,,,7164,,
463,Nosema lotmarae,Protozoa,Microspora,Microsporea (Microsporida),Tineola bisselliella,Lepidoptera,Tineidae,,Malpighian tubules; silk glands,,Switzerland,,,,,,7164,,
464,Nosema lutzi,Protozoa,Microspora,Microsporea (Microsporida),Aedes aegypti,Diptera,Culicidae,Adult,Gut; Intestine,Field,Brazil,,,,,,7164,,Neotropical
465,Nosema lymantriae,Protozoa,Microspora,Microsporea (Microsporida),Lymantria dispar,Lepidoptera,Lymantriidae,Larva,fat body; silk glands,Field,"Czechoslovakia, Yugoslavia, USSR, Ukraine,  Japan, Poland",,,,,,7164,,Palearctic
466,Nosema lymantriae,Protozoa,Microspora,Microsporea (Microsporida),Euproctis chrysorrhoea,Lepidoptera,Lymantriidae,,,,USSR,,,,,,7164,,
467,Nosema lysimniae,Protozoa,Microspora,Microsporea (Microsporida),Mechanitis lysimnia,Lepidoptera,Nymphalidae,,,,Brazil,,,,,,7164,,
468,Nosema melolonthae,Protozoa,Microspora,Microsporea (Microsporida),Melolontha melolontha  ,Coleoptera,Scarabaeidae,LarvaAdultPupa,Fat body,Field,Germany; France; Czechoslovakia,,,,,,7164,,Palearctic
469,Vairimorpha mesnili,Protozoa,Microspora,Microsporea (Microsporida),Pieris brassicae,Lepidoptera,Pieridae,,"Gut; fat body; most tissues, ovaries",,Cosmopolitan,,,,,,7164,,
470,Vairimorpha mesnili,Protozoa,Microspora,Microsporea (Microsporida),Pieris rapae,Lepidoptera,Pieridae,,,Field,New Zealand,,,,,,7164,,Australian
471,Vairimorpha mesnili,Protozoa,Microspora,Microsporea (Microsporida),Aporia crataegi,Lepidoptera,Pieridae,,,,Cosmopolitan,,,,,,7164,,
472,Vairimorpha mesnili,Protozoa,Microspora,Microsporea (Microsporida),Hyposoter ebeninus,Hymenoptera,Ichneumonidae,,,,Cosmopolitan,,,,,,7164,,
473,Vairimorpha mesnili,Protozoa,Microspora,Microsporea (Microsporida),Coccygomimus instigator,Hymenoptera,Ichneumonidae,,,,Cosmopolitan,,,,,,7164,,
474,Nosema murinanae,Protozoa,Microspora,Microsporea (Microsporida),Choristoneura murinana,Lepidoptera,Tortricidae,,fat body,,Czechoslovakia,,,,,,7164,,
475,Nosema muscularis,Protozoa,Microspora,Microsporea (Microsporida),Lymantria dispar,Lepidoptera,Lymantriidae,Larva,midgut muscle; Tracheae; Malpighian tubules,Field,"Czechoslovakia, Japan",,,,12/10/2002,,7164,,Palearctic
476,Nosema nebulellum,Protozoa,Microspora,Microsporea (Microsporida),Homoeosoma nebulella,Lepidoptera,Pyralidae,,fat body,,Czechoslovakia,,,,,,7164,,
477,Nosema nepae,Protozoa,Microspora,Microsporea (Microsporida),Nepa cinerea,Heteroptera,Nepidae,,fat body,,France; Poland,,,,,,7164,,
478,Nosema nonagriae,Protozoa,Microspora,Microsporea (Microsporida),Nonagria typhae,Lepidoptera,Noctuidae,,Gut; Malpighian tubules; fat body; silk glands; tracheal tubules; nerves ,,Germany,,,,,,7164,,
479,Nosema nonagriae,Protozoa,Microspora,Microsporea (Microsporida),Nonagria cannae,Lepidoptera,Noctuidae,,Gut; Malpighian tubules; fat body; silk glands; tracheal tubules; nerves ,,Germany,,,,,,7164,,
480,Nosema nonagriae,Protozoa,Microspora,Microsporea (Microsporida),Sesia vespiformis,Lepidoptera,Sesiidae,,Gut; Malpighian tubules; fat body; silk glands; tracheal tubules; nerves ,,Germany,,,,,,7164,,
481,Nosema nonagriae,Protozoa,Microspora,Microsporea (Microsporida),Sesia culiciformis,Lepidoptera,Sesiidae,,Gut; Malpighian tubules; fat body; silk glands; tracheal tubules; nerves ,,Germany,,,,,,7164,,
482,Nosema nonagriae,Protozoa,Microspora,Microsporea (Microsporida),Sesia spheciformis,Lepidoptera,Sesiidae,,Gut; Malpighian tubules; fat body; silk glands; tracheal tubules; nerves ,,Germany,,,,,,7164,,
483,Nosema operophterae   ,Protozoa,Microspora,Microsporea (Microsporida),Operophtera brumata,Lepidoptera,Geometridae,LarvaPupaAdultEgg,"silk glands, salivary glands, gut wall, fat body, muscle, meconium (in embryonic larvae)",Field,UK,,,,,,7164,,Palearctic
484,Nosema oryzaephili,Protozoa,Microspora,Microsporea (Microsporida),Oryzaephilus surinamensis,Coleoptera,Sylvanidae,,fat body; nerve fibers; cells,,UK,,,,,,7164,,
486,Nosema otiorhynchi,Protozoa,Microspora,Microsporea (Microsporida),Otiorhynchus ligustici,Coleoptera,Curculionidae,,Malpighian tubules; fat body; muscle,,Czechoslovakia,,,,,,7164,,
487,Nosema pediculusvestimenti,Protozoa,Microspora,Microsporea (Microsporida),Pediculus vestimenti,Anoplura,Pediculidae,,fat body; intestinal epithelium,,USSR,,,,,,7164,,
488,Nosema perezioides,Protozoa,Microspora,Microsporea (Microsporida),Agrotis segetum,Lepidoptera,Noctuidae,,Midgut; fat body; Malpighian tubules;  epidermis; tracheae; gonads; muscle; ganglia; pericardial cells; oenocytes; salivary glands,,Germany,,,,,,7164,,
489,Nosema phalerae,Protozoa,Microspora,Microsporea (Microsporida),Phalera bucephala,Lepidoptera,Notodontidae,,fat body,,USSR,,,,,,7164,,
490,Nosema phyllotretae,Protozoa,Microspora,Microsporea (Microsporida),Phyllotreta atra,Coleoptera,Chrysomelidae,,fat body,,UK,,,,,,7164,,
491,Nosema phyllotretae,Protozoa,Microspora,Microsporea (Microsporida),Phyllotreta undulata,Coleoptera,Chrysomelidae,,fat body,,,,,,,,7164,,
492,Nosema phryganidiae ,Protozoa,Microspora,Microsporea (Microsporida),Phryganidia californica,Lepidoptera,Notodontidae,,fat body; silk glands; midgut; Malpighian tubules; gonads; central nervous system; tracheal epithelium; hemocytes,,USA,,,,,,7164,,
495,Nosema polygrammae,Protozoa,Microspora,Microsporea (Microsporida),Leptinotarsa undecemlineata ,Coleoptera,Chrysomelidae,,Gut,Lab,Cuba,,,,,,7164,,
496,Nosema pyrausta,Protozoa,Microspora,Microsporea (Microsporida),Chelonus annulipes,Hymenoptera,Braconidae,,Midgut,Field,,,,,,,7164,,
497,Nosema pyrausta,Protozoa,Microspora,Microsporea (Microsporida),Macrocentrus gifuensis,Hymenoptera,Braconidae,,Midgut,,,,,,,,7164,,
498,Tuzetia schneideri,Protozoa,Microspora,Microsporea (Microsporida),Ephemera vulgata,Ephemeroptera,Ephemeridae,Larva,Gut,Field,"France, Brazil",,,,,,7164,,NeotropicalPalearctic
